work_id,state,constituency,mp_name,work_category,sanction_amount,work_status,analysis_mode,effectively_completed,risk_score,risk_category,n_signals_available,split_payment_flag,is_govt_body,any_is_anomaly_v2,any_is_anomaly_lof,cost_deviation_pct,utilization_pct_completed,recommendation_to_sanction_days,rule_expenditure_over_sanction,rule_extreme_delay,rule_vendor_concentration,known_false_positive
WS/MP18054/2026-2027/259854,Gujarat,MAHESANA,HARIBHAI PATEL,,,,Early-Warning,False,19.748632607936692,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP541/2025-2026/244434,Assam,NOWGONG,Pradyut Bordoloi,,,,Early-Warning,False,24.614996702742545,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18019/2025-2026/251936,Assam,Diphu (ST),AMARSING TISSO,,,,Early-Warning,False,16.01691299119438,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18048/2025-2026/200448,Chhattisgarh,BASTAR(ST),MAHESH KASHYAP,,,,Early-Warning,False,26.30047713254975,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18019/2025-2026/251937,Assam,Diphu (ST),AMARSING TISSO,,,,Early-Warning,False,15.917995267465768,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP623/2026-2027/208680,Karnataka,BIJAPUR(SC),Ramesh Chandappa Jigajinagi,,,,Early-Warning,False,35.32138562395749,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP440/2025-2026/161186,Kerala,PALAKKAD,Vellalath Kochukrishnan Nair Sreekandan,,,,Early-Warning,False,30.123356220179218,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP490/2025-2026/241242,Uttar Pradesh,VARANASI,Shri Narendra Modi,,,,Early-Warning,False,23.83335272896544,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18104/2025-2026/174717,Madhya Pradesh,HOSHANGABAD,DARSHAN SINGH CHOUDHARY,,,,Early-Warning,False,43.393847705496725,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18104/2025-2026/174718,Madhya Pradesh,HOSHANGABAD,DARSHAN SINGH CHOUDHARY,,,,Early-Warning,False,43.358935567710155,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP323/2025-2026/247265,Gujarat,JUNAGADH,Rajeshbhai Naranbhai Chudasama,,,,Early-Warning,False,22.832538112417083,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP323/2025-2026/218118,Gujarat,JUNAGADH,Rajeshbhai Naranbhai Chudasama,,,,Early-Warning,False,15.289576787307498,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18345/2026-2027/208474,Uttar Pradesh,KANNAUJ,AKHILESH YADAV,,,,Early-Warning,False,21.953915978121728,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18158/2025-2026/232705,Punjab,PATIALA,DR DHARAMVIRA GANDHI,,,,Early-Warning,False,49.530625703091665,Medium,4,False,False,False,True,,,,False,False,False,False
WS/MP18037/2025-2026/234515,Bihar,KARAKAT,RAJA RAM SINGH,,,,Early-Warning,False,22.59203227433182,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18037/2025-2026/176945,Bihar,KARAKAT,RAJA RAM SINGH,,,,Early-Warning,False,26.709724969936776,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18065/2026-2027/197016,Haryana,ROHTAK,DEEPENDER SINGH HOODA,,,,Early-Warning,False,81.24248419255984,Critical,4,True,False,False,False,,,,False,False,False,False
WS/MP18104/2024-2025/153170,Madhya Pradesh,HOSHANGABAD,DARSHAN SINGH CHOUDHARY,,,,Early-Warning,False,48.650064005585946,Medium,4,False,False,False,True,,,,False,False,False,False
WS/MP18238/2026-2027/263684,Uttar Pradesh,SALEMPUR,RAMASHANKAR RAJBHAR,,,,Early-Warning,False,22.42910896466116,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18238/2026-2027/263678,Uttar Pradesh,SALEMPUR,RAMASHANKAR RAJBHAR,,,,Early-Warning,False,22.423290275030066,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18238/2026-2027/263683,Uttar Pradesh,SALEMPUR,RAMASHANKAR RAJBHAR,,,,Early-Warning,False,24.919508126769855,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18238/2026-2027/263682,Uttar Pradesh,SALEMPUR,RAMASHANKAR RAJBHAR,,,,Early-Warning,False,22.446565033554446,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18238/2026-2027/263681,Uttar Pradesh,SALEMPUR,RAMASHANKAR RAJBHAR,,,,Early-Warning,False,24.954420264556425,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18238/2026-2027/263680,Uttar Pradesh,SALEMPUR,RAMASHANKAR RAJBHAR,,,,Early-Warning,False,24.9835137127119,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18238/2026-2027/263677,Uttar Pradesh,SALEMPUR,RAMASHANKAR RAJBHAR,,,,Early-Warning,False,22.400015516505686,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18238/2026-2027/263676,Uttar Pradesh,SALEMPUR,RAMASHANKAR RAJBHAR,,,,Early-Warning,False,22.45238372318554,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18238/2026-2027/263675,Uttar Pradesh,SALEMPUR,RAMASHANKAR RAJBHAR,,,,Early-Warning,False,25.082431436440515,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18238/2026-2027/265200,Uttar Pradesh,SALEMPUR,RAMASHANKAR RAJBHAR,,,,Early-Warning,False,25.05333798828504,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18238/2026-2027/263673,Uttar Pradesh,SALEMPUR,RAMASHANKAR RAJBHAR,,,,Early-Warning,False,25.035881919391755,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18238/2026-2027/263674,Uttar Pradesh,SALEMPUR,RAMASHANKAR RAJBHAR,,,,Early-Warning,False,24.663485783001672,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18238/2026-2027/263679,Uttar Pradesh,SALEMPUR,RAMASHANKAR RAJBHAR,,,,Early-Warning,False,25.70503122696769,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18014/2025-2026/245074,Andhra Pradesh,NELLORE(SC),PRABHAKAR REDDY VEMIREDDY,,,,Early-Warning,False,26.248108925869897,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18019/2025-2026/195506,Assam,Diphu (ST),AMARSING TISSO,,,,Early-Warning,False,49.676092943869044,Medium,4,False,False,False,True,,,,False,False,False,False
WS/MP300/2025-2026/159952,Odisha,BHUBANESWAR,Smt Aparajita Sarangi,,,,Early-Warning,False,11.10205981612941,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18020/2025-2026/205136,Assam,BARPETA,PHANI BHUSAN CHOUDHURY,,,,Early-Warning,False,27.984017999146598,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP575/2026-2027/291461,Gujarat,NAVSARI,C R Patil,,,,Early-Warning,False,28.164397377710543,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP575/2026-2027/291460,Gujarat,NAVSARI,C R Patil,,,,Early-Warning,False,25.004848908025917,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18270/2026-2027/256178,Uttar Pradesh,BAGHPAT,DR RAJKUMAR SANGWAN,,,,Early-Warning,False,41.974087435509524,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18092/2025-2026/196145,Karnataka,RAICHUR(ST),G. KUMAR NAIK,,,,Early-Warning,False,37.266767523953604,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP575/2026-2027/291459,Gujarat,NAVSARI,C R Patil,,,,Early-Warning,False,29.07017339695101,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP575/2026-2027/291462,Gujarat,NAVSARI,C R Patil,,,,Early-Warning,False,29.151635051786343,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18328/2025-2026/195261,Himachal Pradesh,MANDI,Kangana Ranaut,,,,Early-Warning,False,41.12843787579037,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP490/2025-2026/241251,Uttar Pradesh,VARANASI,Shri Narendra Modi,,,,Early-Warning,False,37.053415570813456,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18083/2026-2027/268056,Karnataka,DAKSHINA KANNADA,CAPTAIN BRIJESH CHOWTA,,,,Early-Warning,False,24.822529966251604,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18199/2025-2026/205328,Uttar Pradesh,AMBEDKAR NAGAR,LALJI VERMA,,,,Early-Warning,False,28.8432445013383,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18380/2025-2026/244981,Uttar Pradesh,BHADOHI,VINOD KUMAR BIND,,,,Early-Warning,False,38.62252220799876,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP716/2025-2026/203951,Punjab,BHATINDA,Smt Harsimrat Kaur Badal,,,,Early-Warning,False,50.810737421932586,High,4,False,False,True,False,,,,False,False,False,False
WS/MP18094/2026-2027/164516,Karnataka,UTTARA KANNADA,VISHWESHWAR HEGDE KAGERI,,,,Early-Warning,False,28.05190271150937,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP360/2025-2026/214359,Madhya Pradesh,UJJAIN(SC),Shri Anil Firojiya,,,,Early-Warning,False,26.833857015400135,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18328/2025-2026/195266,Himachal Pradesh,MANDI,Kangana Ranaut,,,,Early-Warning,False,27.535978897552273,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP623/2025-2026/177389,Karnataka,BIJAPUR(SC),Ramesh Chandappa Jigajinagi,,,,Early-Warning,False,49.474378369991086,Medium,4,False,False,False,True,,,,False,False,False,False
WS/MP490/2025-2026/241236,Uttar Pradesh,VARANASI,Shri Narendra Modi,,,,Early-Warning,False,22.586213584700726,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18278/2025-2026/221471,Chhattisgarh,JANJGIR CHAMPA(SC),KAMLESH JANGDE,,,,Early-Warning,False,25.87959191590054,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18263/2025-2026/241120,Karnataka,UDUPI CHIKMAGALUR,KOTA SRINIVAS POOJARY,,,,Early-Warning,False,14.794988168664418,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18263/2025-2026/241119,Karnataka,UDUPI CHIKMAGALUR,KOTA SRINIVAS POOJARY,,,,Early-Warning,False,17.54722836417239,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18326/2025-2026/238265,Gujarat,SURENDRANAGAR,CHANDUBHAI CHHAGANBHAI SHIHORA,,,,Early-Warning,False,49.35800457736918,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP568/2025-2026/215563,Chhattisgarh,DURG,Vijay Baghel,,,,Early-Warning,False,23.744132821288648,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18066/2025-2026/242467,Haryana,SIRSA(SC),SELJA,,,,Early-Warning,False,32.668063152178135,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18086/2025-2026/168334,Karnataka,HASSAN,SHREYAS. M. PATEL,,,,Early-Warning,False,7.901780519027115,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18162/2025-2026/241441,Rajasthan,BHILWARA,DAMODAR AGARWAL,,,,Early-Warning,False,48.456107684549444,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18314/2025-2026/225629,Punjab,SANGRUR,GURMEET SINGH MEET HAYER,,,,Early-Warning,False,49.5228674502502,Medium,4,False,False,False,True,,,,False,False,False,False
WS/MP490/2025-2026/241132,Uttar Pradesh,VARANASI,Shri Narendra Modi,,,,Early-Warning,False,32.68551922107142,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP728/2025-2026/192099,Rajasthan,CHURU,Rahul Kaswan,,,,Early-Warning,False,51.91046976220955,High,4,False,False,True,False,,,,False,False,False,False
WS/MP18263/2026-2027/166165,Karnataka,UDUPI CHIKMAGALUR,KOTA SRINIVAS POOJARY,,,,Early-Warning,False,18.722603669653594,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18278/2025-2026/221475,Chhattisgarh,JANJGIR CHAMPA(SC),KAMLESH JANGDE,,,,Early-Warning,False,10.337871911245589,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18108/2026-2027/298837,Madhya Pradesh,SAGAR,DR. LATA WANKHEDE,,,,Early-Warning,False,32.37906823383374,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18069/2025-2026/216928,Himachal Pradesh,KANGRA,RAJEEV BHARDWAJ,,,,Early-Warning,False,14.474960238954187,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18104/2025-2026/153165,Madhya Pradesh,HOSHANGABAD,DARSHAN SINGH CHOUDHARY,,,,Early-Warning,False,35.81209511617984,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18202/2026-2027/254105,Uttar Pradesh,AZAMGARH,DHARMENDRA YADAV,,,,Early-Warning,False,43.00399550021336,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18239/2025-2026/224404,Uttar Pradesh,SAMBHAL,ZIA UR REHMAN,,,,Early-Warning,False,36.64222817021607,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18239/2025-2026/224407,Uttar Pradesh,SAMBHAL,ZIA UR REHMAN,,,,Early-Warning,False,24.358974358974358,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18239/2025-2026/224408,Uttar Pradesh,SAMBHAL,ZIA UR REHMAN,,,,Early-Warning,False,25.074673183599053,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18239/2025-2026/224406,Uttar Pradesh,SAMBHAL,ZIA UR REHMAN,,,,Early-Warning,False,24.329880910818886,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18239/2025-2026/228453,Uttar Pradesh,SAMBHAL,ZIA UR REHMAN,,,,Early-Warning,False,19.378176034756976,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18060/2025-2026/215434,Haryana,AMBALA (SC),VARUN CHAUDHRY,,,,Early-Warning,False,50.57992939989914,High,4,False,False,False,False,,,,False,False,False,False
WS/MP770/2026-2027/180989,Telangana,KARIMNAGAR,Sanjay Kumar Bandi,,,,Early-Warning,False,22.12071841421312,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18112/2025-2026/233407,Maharashtra,AMRAVATI(SC),BALWANT BASWANT WANKHADE,,,,Early-Warning,False,31.58966600721518,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18328/2025-2026/195272,Himachal Pradesh,MANDI,Kangana Ranaut,,,,Early-Warning,False,52.0850304511424,High,4,False,False,False,True,,,,False,False,False,False
WS/MP021/2025-2026/254820,Uttarakhand,NAINITAL UDHAM SINGH NAG.,Ajay Bhatt,,,,Early-Warning,False,6.334613445052174,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP623/2026-2027/255163,Karnataka,BIJAPUR(SC),Ramesh Chandappa Jigajinagi,,,,Early-Warning,False,37.22991582295667,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP524/2025-2026/198337,Andhra Pradesh,RAJAMPET,Midhun Reddy,,,,Early-Warning,False,18.059273051708757,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP524/2025-2026/198346,Andhra Pradesh,RAJAMPET,Midhun Reddy,,,,Early-Warning,False,42.60444547887816,Medium,4,False,False,False,True,,,,False,False,False,False
WS/MP18276/2026-2027/256840,Gujarat,CHHOTA UDAIPUR(ST),JASHUBHAI BHILUBHAI RATHVA,,,,Early-Warning,False,26.420730051592386,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18022/2025-2026/171019,Assam,DIBRUGARH,Shri Sarbananda Sonowal (18LS),,,,Early-Warning,False,41.38639978276892,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18202/2025-2026/188158,Uttar Pradesh,AZAMGARH,DHARMENDRA YADAV,,,,Early-Warning,False,42.65099499592692,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18086/2025-2026/171273,Karnataka,HASSAN,SHREYAS. M. PATEL,,,,Early-Warning,False,9.17025485860584,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18112/2026-2027/164649,Maharashtra,AMRAVATI(SC),BALWANT BASWANT WANKHADE,,,,Early-Warning,False,27.733814345009506,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18112/2026-2027/164651,Maharashtra,AMRAVATI(SC),BALWANT BASWANT WANKHADE,,,,Early-Warning,False,32.11722720043446,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP524/2025-2026/198348,Andhra Pradesh,RAJAMPET,Midhun Reddy,,,,Early-Warning,False,30.59079095387719,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18225/2025-2026/174421,Uttar Pradesh,KAUSHAMBI(SC),PUSHPENDRA SAROJ,,,,Early-Warning,False,25.291904263159935,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18225/2025-2026/174376,Uttar Pradesh,KAUSHAMBI(SC),PUSHPENDRA SAROJ,,,,Early-Warning,False,33.868652779394075,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18225/2025-2026/174368,Uttar Pradesh,KAUSHAMBI(SC),PUSHPENDRA SAROJ,,,,Early-Warning,False,23.267000271538848,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18225/2025-2026/174769,Uttar Pradesh,KAUSHAMBI(SC),PUSHPENDRA SAROJ,,,,Early-Warning,False,36.15539780441445,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18225/2025-2026/174777,Uttar Pradesh,KAUSHAMBI(SC),PUSHPENDRA SAROJ,,,,Early-Warning,False,30.109779277706657,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18225/2025-2026/174378,Uttar Pradesh,KAUSHAMBI(SC),PUSHPENDRA SAROJ,,,,Early-Warning,False,23.342643236743086,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18225/2025-2026/174379,Uttar Pradesh,KAUSHAMBI(SC),PUSHPENDRA SAROJ,,,,Early-Warning,False,34.95674774040886,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18225/2025-2026/174370,Uttar Pradesh,KAUSHAMBI(SC),PUSHPENDRA SAROJ,,,,Early-Warning,False,22.725862135847006,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18225/2025-2026/174770,Uttar Pradesh,KAUSHAMBI(SC),PUSHPENDRA SAROJ,,,,Early-Warning,False,35.84118856433531,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18225/2025-2026/174371,Uttar Pradesh,KAUSHAMBI(SC),PUSHPENDRA SAROJ,,,,Early-Warning,False,38.459598898328096,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18225/2025-2026/174380,Uttar Pradesh,KAUSHAMBI(SC),PUSHPENDRA SAROJ,,,,Early-Warning,False,21.538849451103612,Low,4,False,False,False,False,,,,False,False,False,False
WS/MP18225/2025-2026/174418,Uttar Pradesh,KAUSHAMBI(SC),PUSHPENDRA SAROJ,,,,Early-Warning,False,34.13049381279336,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18225/2025-2026/174774,Uttar Pradesh,KAUSHAMBI(SC),PUSHPENDRA SAROJ,,,,Early-Warning,False,36.08557352884131,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18225/2025-2026/174375,Uttar Pradesh,KAUSHAMBI(SC),PUSHPENDRA SAROJ,,,,Early-Warning,False,37.13293766243842,Medium,4,False,False,False,False,,,,False,False,False,False
WS/MP18225/2025-2026/174428,Uttar Pradesh,KAUSHAMBI(SC),PUSHPENDRA SAROJ,,,,Early-Warning,False,24.523837231855385,Low,4,False,False,False,False,,,,False,False,False,False
